@relation minmax_training

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {left,down,right,righttilt,tiltleft,up}

@data
67.403315,27.616927,22.222222,49.21994,57.555642,59.77849,55.345912,55.809129,34.699454,60.580051,64.01429,58.530472,33.623188,55.632184,45.251397,33.683596,52.45323,39.307139,41.432225,41.848524,58.964143,31.782028,45.318826,22.299274,66.057441,40.977444,42.346939,44.323543,53.456395,31.589925,46.689895,76.422764,28.27476,64.079398,40.579244,39.980755,68.636364,60.37037,55.99022,64.008236,40.446065,49.899396,68.867925,47.484277,39.534884,57.850175,37.003233,35.801839,46.12069,51.239669,43.855422,69.85566,56.521739,51.457658,23,37.804878,42.532468,34.378008,59.025916,48.603839,19.097222,35.903084,33.972125,31.446502,26.110343,69.054594,56.716418,46.641791,35.064935,42.024604,44.949357,47.678019,71.505376,70.711297,42.318059,59.449753,61.55798,43.492586,45.657568,71.563089,52.824427,65.659379,50.626834,59.705726,65.676568,52.624672,39.221557,49.741367,64.84456,32.360097,58.333333,45.631068,32.258065,79.513678,39.39577,67.146473,80.912863,64.089776,35.323383,48.382126,51.865837,54.615385,78.136201,32.404181,36.507937,35.741198,40.082496,27.105575,58.558559,43.902439,39.835165,22.176118,43.955651,21.569433,37.634409,57.03125,54.104478,51.787703,69.158361,62.758311,left
64.088398,2.004454,24.100156,47.854179,57.555642,51.865345,100,66.59751,37.15847,65.052403,67.489445,52.01316,74.492754,76.781609,56.98324,36.310566,46.617249,6.853629,7.41688,92.682927,73.10757,34.593615,65.966599,9.643515,0,87.969925,16.836735,31.152032,40.459597,72.084069,45.644599,49.796748,40.095847,57.316906,44.086887,87.490979,75,41.111111,60.880196,65.326012,29.980699,81.891348,85.849057,24.842767,36.046512,62.194,35.919376,95.14811,85.344828,9.090909,23.373494,65.191459,37.768116,79.500231,76,8.943089,40.584416,34.303134,68.051832,54.013962,30.208333,23.127753,37.108014,34.122931,32.687875,73.91478,65.671642,43.097015,31.688312,43.473728,43.525869,49.447147,68.548387,62.970711,38.814016,57.836959,59.350419,37.589237,55.583127,53.107345,53.89313,60.311934,38.116831,41.411097,49.174917,53.805774,36.526946,53.278345,76.709845,11.678832,51.893939,54.368932,34.677419,79.56231,39.18429,53.891174,51.86722,85.037406,37.064677,46.456086,48.023101,60.769231,95.698925,20.209059,35.555556,39.57386,45.337159,25.771056,49.099099,53.658537,44.230769,21.914861,38.376252,14.89318,25.806452,66.40625,49.626866,51.738216,66.334441,76.504942,left
41.98895,33.63029,28.169014,48.505542,48.028114,52.200525,55.345912,69.917012,34.972678,57.444886,54.693082,56.713144,29.565217,67.126437,43.854749,36.685848,54.218143,43.10138,28.132992,54.043646,60.159363,31.119825,49.595142,27.056019,75.718016,39.097744,44.387755,42.489728,45.658316,51.195251,67.595819,64.634146,27.15655,67.597536,46.22687,43.661294,70.909091,56.666667,54.278729,65.998627,39.71692,55.206237,61.792453,45.283019,35.174419,56.782625,38.296254,43.51379,55.172414,42.561983,39.518072,65.597042,54.347826,62.517353,21,28.04878,49.350649,34.709595,66.800715,47.665794,56.944444,7.048458,31.533101,31.366517,22.483479,70.226365,100,39.738806,36.623377,44.474562,48.425951,16.364441,65.591398,88.493724,50.673854,63.522396,68.637402,1.263042,37.220844,97.928437,49.160305,52.79209,37.716724,27.229215,30.363036,72.834646,61.377246,67.090731,82.150259,74.817518,0,92.718447,21.236559,65.240122,23.05136,86.950332,82.572614,45.137157,44.527363,42.475603,40.248778,100,78.853047,19.860627,39.68254,38.313629,39.239598,63.16726,100,2.926829,26.098901,22.537268,38.590844,40.119145,74.193548,32.8125,43.656716,47.272052,78.017719,80.997305,left
61.325967,21.603563,28.638498,47.83842,61.733698,55.362868,67.924528,60.373444,35.79235,60.688471,46.703475,57.277142,33.333333,52.873563,44.134078,39.529647,60.289446,43.70126,29.15601,44.929397,62.350598,31.016241,45.116397,17.954275,72.584856,40.413534,40.05102,44.384416,46.072707,39.034173,47.735192,75.609756,28.594249,64.873374,43.169751,30.093818,60,70.37037,55.501222,61.990391,34.462792,52.917505,61.792453,48.427673,32.267442,60.187742,39.589276,45.3524,58.62069,42.975207,41.686747,66.455923,51.768116,50.80981,11,35.772358,45.12987,36.699112,64.387846,46.662304,20.486111,36.784141,36.759582,31.058881,25.97203,65.339547,55.721393,48.880597,35.844156,42.316514,47.741582,47.169394,64.784946,71.548117,47.169811,59.490411,56.939863,47.336628,49.379653,72.316384,50.534351,64.4757,48.146172,57.791172,65.346535,52.493438,36.227545,48.511114,64.067358,40.429846,59.090909,45.873786,31.72043,79.477204,39.063444,63.619108,76.763485,65.586035,37.313433,48.715973,54.153709,58.626374,81.003584,24.738676,35.555556,35.299467,38.378766,25.771056,63.963964,40.487805,39.285714,22.798525,44.921316,23.212818,40.860215,50,49.626866,51.676358,67.940199,60.197664,left
69.61326,70.155902,27.386541,50.701266,46.622413,0,30.188679,73.858921,54.918033,62.838815,75.771354,81.513395,23.188406,88.735632,37.430168,30.531232,48.723379,55.023995,10.741688,61.232349,62.151394,28.530206,42.535425,45.422039,81.723238,32.142857,48.979592,40.480901,43.435675,62.69854,87.456446,52.845528,21.884984,68.336756,42.558327,55.833534,85,32.592593,54.278729,64.55731,43.727214,56.061368,65.566038,31.761006,34.593023,62.948647,40.482982,48.723187,48.706897,37.190083,37.831325,67.935107,48.202899,65.664044,37,0.406504,44.155844,32.570328,49.865952,51.854276,29.166667,27.973568,34.66899,33.612256,30.613186,65.858855,70.646766,39.179104,35.064935,40.919516,50.588557,37.748784,48.11828,71.338912,42.048518,60.981229,58.284699,10.790774,40.942928,82.297552,52.366412,63.16669,47.265938,55.522071,64.686469,53.674541,40.419162,48.10569,65.569948,25.871857,56.060606,49.514563,31.451613,78.74772,34.410876,66.972477,85.062241,63.092269,36.567164,50.218285,54.842292,46.071429,72.759857,41.811847,38.412698,36.104976,38.12769,26.512456,56.756757,49.268293,38.461538,23.021362,46.852647,25.246508,43.010753,59.375,51.865672,50.785599,72.314507,61.904762,left
32.044199,36.525612,27.230047,47.754373,36.938696,52.623142,57.232704,69.294606,34.972678,58.9176,63.624553,57.245809,29.855072,65.517241,49.441341,37.211242,54.571126,43.656269,28.132992,54.685494,59.163347,30.498317,45.774291,28.594647,75.718016,37.781955,44.132653,42.352762,46.110379,50.697898,72.125436,59.95935,27.316294,66.2423,44.955752,46.980996,76.363636,47.407407,55.256724,69.787234,42.740725,48.717304,71.698113,38.993711,31.104651,57.095527,36.185587,32.431052,57.327586,31.818182,40,65.465824,51.043478,36.418325,100,16.260163,49.675325,35.875495,75.513852,42.801047,10.416667,100,41.463415,40.61404,29.383741,29.973369,45.771144,59.328358,32.987013,30.212677,41.199015,65.524104,31.182796,90.794979,61.455526,57.647218,62.953565,98.654585,47.64268,68.926554,51.755725,50.396881,29.181115,75.695799,71.617162,43.700787,37.125749,57.206766,68.134715,96.107056,87.121212,27.427184,10.483871,70.346505,27.250755,70.389117,88.79668,51.620948,40.298507,52.041602,58.351844,63.846154,77.419355,14.982578,30.793651,40.873067,42.664993,24.673784,57.657658,23.902439,41.758242,22.629476,38.23319,15.098603,46.236559,51.171875,45.522388,51.602128,72.702104,62.982929,left
25.414365,26.726058,28.325509,49.146399,43.26435,48.484407,69.811321,61.618257,35.519126,56.794362,57.616109,50.681498,26.086957,66.666667,47.765363,37.544825,54.100482,32.468506,19.181586,58.023107,60.756972,31.09023,49.898785,23.285296,71.018277,47.556391,43.622449,41.667935,41.288378,48.243222,71.428571,65.853659,25.71885,68.090349,48.334674,45.802261,73.636364,54.814815,56.234719,66.684969,38.773322,46.202213,58.962264,50.314465,34.302326,58.788883,39.07587,50.766088,53.87931,41.322314,41.686747,65.907193,51.971014,49.282739,27,35.772358,48.376623,35.158841,62.33244,49.629145,23.263889,33.920705,35.191638,31.53264,25.956662,67.563249,53.233831,48.880597,35.064935,43.494579,50.068437,48.827952,66.935484,70.292887,42.587601,58.900861,57.142857,45.908841,49.379653,69.491525,52.366412,64.935246,50.893572,58.624357,66.006601,51.83727,37.724551,49.685447,63.65285,35.766423,61.363636,41.747573,31.989247,78.905775,40.151057,64.03037,79.253112,64.089776,37.562189,49.357987,55.597512,59.505495,77.060932,36.585366,30.47619,34.584903,35.007174,15.391459,59.009009,33.170732,40.384615,22.506531,43.168813,20.624486,88.172043,42.578125,53.731343,51.973277,73.975637,54.716981,left
74.585635,66.592428,34.115806,51.499711,64.5451,6.310114,20.125786,90.6639,41.530055,58.447777,54.952907,48.378505,23.768116,85.517241,52.234637,44.967059,63.489822,56.343731,4.347826,66.238768,55.179283,24.068662,21.330972,51.446527,71.018277,31.390977,53.061224,39.7352,38.086269,70.704316,71.080139,56.707317,24.440895,69.336071,41.174578,67.187876,94.090909,36.296296,44.743276,64.063143,34.891701,65.719316,78.773585,37.106918,25,51.260814,37.611713,74.055158,52.155172,16.115702,43.13253,63.783848,55.884058,54.558075,75,21.138211,49.675325,39.929404,91.018767,53.141361,12.847222,20.484582,37.28223,32.800098,22.944521,65.139814,65.174129,44.029851,33.506494,42.128857,45.08623,40.911101,64.247312,64.853556,39.622642,60.44589,58.132454,36.463482,43.672457,71.186441,53.89313,61.899457,47.079221,50.930686,65.346535,49.868766,30.838323,50.314553,62.227979,28.791565,54.545455,41.262136,31.989247,82.224924,47.643505,59.111041,77.178423,69.326683,35.572139,48.651772,51.599289,41.950549,72.759857,41.811847,37.777778,35.949071,40.728121,20.937129,52.702703,58.536585,40.934066,21.592132,42.918455,19.474117,32.258065,62.109375,58.58209,54.138315,72.591362,71.922731,left
46.40884,35.857461,25.352113,47.53375,38.461538,49.693967,41.509434,71.369295,40.983607,60.028912,60.571614,57.919474,31.884058,67.126437,39.106145,36.102077,54.265208,43.85123,25.319693,55.584082,63.14741,30.424328,46.912955,26.460072,78.328982,38.909774,43.112245,42.634302,44.320964,52.542917,67.944251,63.617886,26.677316,66.803559,46.017699,42.65095,71.363636,53.703704,54.767726,67.192862,40.124383,54.678068,65.09434,40.251572,33.430233,57.574084,37.915954,39.27477,51.724138,40.495868,41.445783,65.764046,50.608696,55.391023,49,18.699187,45.454545,34.43149,62.868633,48.123909,70.833333,49.339207,45.993031,38.454439,31.566006,0,0,90.298507,24.675325,46.830692,64.084314,60.482088,51.075269,80.962343,56.603774,52.49712,60.644506,100,38.461538,74.576271,56.793893,50.647542,16.004268,88.140401,69.966997,49.868766,32.035928,46.651755,58.80829,74.087591,58.333333,29.854369,28.763441,86.784195,41.148036,80.19614,97.510373,61.845387,15.174129,41.730868,43.00311,74.313187,87.096774,14.634146,43.492063,29.829804,45.606169,43.11981,64.864865,17.073171,41.483516,24.604272,56.938484,26.95152,43.010753,40.234375,50.373134,49.709266,56.20155,73.719677,left
42.541436,23.608018,29.42097,49.629669,62.319406,48.367823,70.440252,57.053942,37.704918,58.429707,42.838584,44.414852,20.57971,59.08046,44.413408,40.28021,58.136251,33.413317,25.319693,55.712452,59.960159,30.720284,43.19332,18.788601,70.75718,47.932331,46.428571,43.273474,43.548691,48.580138,68.641115,67.886179,23.322684,67.967146,48.624296,37.14217,60,68.148148,57.212714,67.302677,40.038602,53.194165,61.792453,45.91195,34.011628,57.905393,36.660962,44.892748,49.568966,45.041322,41.204819,65.644757,49.710145,57.936141,43,27.642276,44.155844,35.148144,63.002681,48.276614,22.916667,34.140969,34.494774,32.000246,28.062087,67.363515,53.233831,49.253731,37.142857,41.002919,45.6611,47.169394,64.784946,72.384937,45.283019,59.375212,60.771378,43.98682,47.890819,70.621469,54.503817,65.979669,49.853294,59.936182,69.306931,52.362205,33.532934,48.245491,61.11399,33.7794,55.30303,46.116505,33.870968,79.465046,39.879154,66.260677,80.497925,64.339152,32.835821,47.624551,49.355842,53.846154,74.193548,34.494774,36.825397,35.832142,40.243902,30.634638,63.963964,42.926829,37.362637,22.099278,43.741059,20.275267,40.860215,51.171875,54.477612,52.29494,73.089701,67.69991,left
